Rank,City,Country,Government_Digitization,Connectivity,Digital_Banking,Digitized_mobility,Digitized_social_habits,Education,Privacy_and_security,Internationalism,Gender_Equality,LGBT_Equality,Environmental_Action,MentalHealth_Access,Healthcare,Safety,Protest_Rights,Esports,Concerts,Entreprenerial_Spirit,Co-working_spaces,Affordability,Social_Entrepreneurship,AI_Industry,Total
30,Miami,USA,94.13,80.83,63.06,28.40,49.58,42.24,60.10,82.40,50.27,83.84,88.17,57.68,87.27,49.77,85.66,13.51,83.03,70.80,26.75,68.28,49.12,40.78,76.13
31,Barcelona,Spain,88.56,90.89,48.49,53.98,39.77,51.74,89.76,51.58,64.02,96.96,87.17,71.90,91.70,75.65,85.66,6.08,71.20,49.03,64.65,79.69,46.85,50.44,76.12
32,Bristol,UK,97.69,77.03,64.84,30.54,46.14,56.26,69.96,40.79,75.34,79.23,90.76,89.10,89.12,62.96,97.08,3.60,76.20,74.14,48.30,72.95,57.17,25.19,75.32
33,Stuttgart,Germany,94.07,74.92,55.77,52.09,34.53,51.20,81.72,58.91,76.15,78.67,87.08,91.17,91.72,76.88,98.05,5.21,73.33,60.97,20.88,74.47,33.87,18.82,75.12
34,Brisbane,Australia,98.52,85.05,58.25,48.97,54.62,57.61,47.48,60.27,57.55,70.08,91.82,78.36,98.97,74.98,95.99,3.55,70.69,39.91,28.73,71.30,43.71,34.14,74.25
35,Glasgow,UK,97.69,77.93,64.84,52.17,46.14,45.72,69.96,40.46,75.34,70.78,90.39,89.12,89.41,58.84,97.08,5.74,82.63,71.94,18.73,77.33,52.33,15.27,74.15
36,Vienna,Austria,86.75,77.71,47.20,55.91,37.88,53.73,71.74,60.23,46.68,70.18,86.00,71.00,95.33,83.76,99.03,4.59,76.88,46.79,60.18,73.80,51.41,31.46,74.13
37,Auckland,New Zealand,94.71,84.48,98.64,39.18,52.01,45.16,64.69,70.57,80.24,66.06,94.11,71.92,92.50,66.94,100.00,11.50,56.50,40.57,20.38,67.64,37.55,34.14,74.06
38,Zurich,Switzerland,90.23,96.60,44.45,51.34,40.58,89.11,77.23,68.75,67.66,66.98,99.56,75.21,98.26,71.72,100.00,31.57,77.37,75.79,41.73,1.00,58.87,45.59,72.73
39,Dublin,Ireland,86.52,71.14,50.82,65.64,44.87,48.37,70.48,48.94,78.22,71.16,91.59,74.50,95.84,60.66,98.05,6.61,73.16,63.64,33.81,66.61,50.25,48.43,72.67
40,Oslo,Norway,90.81,95.74,59.70,70.99,49.86,25.52,69.51,52.17,100.00,72.24,90.18,100.00,100.00,70.51,100.00,18.62,75.65,46.91,34.36,42.94,45.99,39.89,72.60
41,Utrecht,Netherlands,93.94,95.27,63.22,40.88,48.37,28.16,83.98,41.24,58.41,87.44,84.43,81.48,99.10,76.46,98.05,4.45,71.09,79.47,46.32,68.72,29.07,22.76,72.15
